Gmt time,Open,High,Low,Close,Volume
09.01.2022 02:00:00.000,41770,42120,41736,42058,58956.9993
09.01.2022 03:00:00.000,42058,42059,41754,41787,48262.0001
09.01.2022 04:00:00.000,41786,42049,41759,42032,47683.0006
09.01.2022 05:00:00.000,42031,42041,41671,41706,42656.0007
09.01.2022 06:00:00.000,41706,41889,41638,41820,40040.0013
09.01.2022 07:00:00.000,41819,41850,41735,41756,38476.9998
09.01.2022 08:00:00.000,41756,41879,41576,41608,47054.9986
09.01.2022 09:00:00.000,41607,41705,41432,41460,39319.9995
09.01.2022 10:00:00.000,41460,41665,41366,41587,46528.9988
09.01.2022 11:00:00.000,41588,41922,41586,41805,53033.0017
09.01.2022 12:00:00.000,41805,41864,41636,41703,51435.0012
09.01.2022 13:00:00.000,41702,41839,41427,41427,59654.0011
09.01.2022 14:00:00.000,41425,41776,41419,41585,20712.6997
09.01.2022 15:00:00.000,41585,41710,41251,41670,27293.4996
09.01.2022 16:00:00.000,41670,42088,41530,42086,57596.0018
09.01.2022 17:00:00.000,42090,42144,41848,42044,63396.9977
09.01.2022 18:00:00.000,42045,42201,41884,41913,50647.0017
09.01.2022 19:00:00.000,41914,42681,41892,42654,76568.9984
09.01.2022 20:00:00.000,42654,42725,42329,42408,57445.9992
09.01.2022 21:00:00.000,42405,42482,42249,42259,41140.0013
09.01.2022 22:00:00.000,42245,42434,42040,42145,30023.9995
09.01.2022 23:00:00.000,42151,42229,41722,41815,82129.0016
10.01.2022 00:00:00.000,41809,41978,41583,41604,91559.9987
10.01.2022 01:00:00.000,41605,41800,41554,41766,67460.0005
10.01.2022 02:00:00.000,41767,41950,41678,41894,55881.9994
10.01.2022 03:00:00.000,41898,41948,41821,41922,52345.0002
10.01.2022 04:00:00.000,41921,42189,41886,42152,60600.9997
10.01.2022 05:00:00.000,42163,42171,41917,41975,49008.0006
10.01.2022 06:00:00.000,41976,41989,41791,41877,48914.9988
10.01.2022 07:00:00.000,41875,42100,41860,41998,41790.9995
10.01.2022 08:00:00.000,41996,42060,41676,41765,58368.9995
10.01.2022 09:00:00.000,41765,41877,41672,41747,46711.9999
10.01.2022 10:00:00.000,41746,41933,41709,41737,57946.0002
10.01.2022 11:00:00.000,41736,41747,41420,41507,50791.4014
10.01.2022 12:00:00.000,41511,41554,40917,40917,36809.7015
10.01.2022 13:00:00.000,40917,41078,40681,40719,44293.8991
10.01.2022 14:00:00.000,40720,41290,39604,40795,77356.0032
10.01.2022 15:00:00.000,40833,41149,40528,40932,81997.9981
10.01.2022 16:00:00.000,40935,41914,40811,41855,67417.0032
10.01.2022 17:00:00.000,41859,42046,40541,41168,78124.0016
10.01.2022 18:00:00.000,41168,41663,41083,41577,59337.9997
10.01.2022 19:00:00.000,41577,41652,41192,41235,77652.9983
10.01.2022 20:00:00.000,41235,41720,41123,41667,59994.0009
10.01.2022 21:00:00.000,41667,42006,41535,41664,56194.9983
10.01.2022 22:00:00.000,41696,41792,41486,41558,49470.9983
10.01.2022 23:00:00.000,41558,41831,41473,41771,63500.002
11.01.2022 00:00:00.000,41772,41823,41554,41563,68354.0031
11.01.2022 01:00:00.000,41563,42008,41521,41875,63336.9982
11.01.2022 02:00:00.000,41875,42334,41774,42129,73664.0021
11.01.2022 03:00:00.000,42129,42230,42025,42222,59893.0009
11.01.2022 04:00:00.000,42230,42308,42093,42270,63836.9992
11.01.2022 05:00:00.000,42270,42273,41977,42058,50163.0008
11.01.2022 06:00:00.000,42058,42174,41937,42048,55272.0018
11.01.2022 07:00:00.000,42049,42219,42037,42154,52570.9987
11.01.2022 08:00:00.000,42155,42525,41899,41936,77279.9999
11.01.2022 09:00:00.000,41937,42105,41835,41929,22229.3995
11.01.2022 10:00:00.000,41930,42046,41528,41569,50916.9996
11.01.2022 11:00:00.000,41570,41906,41533,41869,51369.9986
11.01.2022 12:00:00.000,41869,41972,41743,41771,37176.4004
11.01.2022 13:00:00.000,41770,41831,41546,41655,48099
11.01.2022 14:00:00.000,41656,41760,41231,41579,65135.0021
11.01.2022 15:00:00.000,41579,42097,41415,41684,61691.9994
11.01.2022 16:00:00.000,41685,42956,41642,42658,87140.9997
11.01.2022 17:00:00.000,42659,43030,42308,42506,72255.0005
11.01.2022 18:00:00.000,42505,42869,42320,42703,60405.001
11.01.2022 19:00:00.000,42706,43036,42578,42944,52271.001
11.01.2022 20:00:00.000,42943,43054,42667,42739,49906.9989
11.01.2022 21:00:00.000,42745,42769,42610,42620,39220.9999
11.01.2022 22:00:00.000,42631,42718,42571,42668,40584.0017
11.01.2022 23:00:00.000,42669,42845,42603,42683,63718.9969
12.01.2022 00:00:00.000,42682,42919,42550,42645,70045.0018
12.01.2022 01:00:00.000,42643,42723,42536,42588,54499.0003
12.01.2022 02:00:00.000,42588,42659,42424,42512,54648.9991
12.01.2022 03:00:00.000,42512,42609,42455,42563,40550.9993
12.01.2022 04:00:00.000,42561,42679,42486,42575,46367.9992
12.01.2022 05:00:00.000,42574,42719,42525,42659,41460.9984
12.01.2022 06:00:00.000,42659,42813,42575,42625,57023
12.01.2022 07:00:00.000,42625,42625,42431,42514,57489.0003
12.01.2022 08:00:00.000,42512,42664,42469,42565,53387.9995
12.01.2022 09:00:00.000,42564,42854,42538,42754,63070.9976
12.01.2022 10:00:00.000,42756,42931,42699,42725,68144.9994
12.01.2022 11:00:00.000,42725,43392,42655,42895,81895.9996
12.01.2022 12:00:00.000,42895,43247,42849,43242,86572.9973
12.01.2022 13:00:00.000,43245,44032,43160,43889,95651.0007
12.01.2022 14:00:00.000,43889,43929,43646,43811,86249.0013
12.01.2022 15:00:00.000,43810,43892,43367,43517,79369.0011
12.01.2022 16:00:00.000,43514,43634,43297,43574,74219.0033
12.01.2022 17:00:00.000,43573,43828,43448,43796,66996.0007
12.01.2022 18:00:00.000,43800,43842,43534,43550,68513.9969
12.01.2022 19:00:00.000,43550,43716,43501,43700,70491.9994
12.01.2022 20:00:00.000,43701,43949,43602,43785,69280.9969
12.01.2022 21:00:00.000,43785,44253,43710,43728,78452.9969
12.01.2022 22:00:00.000,43731,43901,43703,43805,50071.0011
12.01.2022 23:00:00.000,43805,43982,43778,43863,60410.0004
13.01.2022 00:00:00.000,43859,44003,43645,43677,68342.9986
13.01.2022 01:00:00.000,43673,43757,43480,43494,57920.0014
13.01.2022 02:00:00.000,43501,43632,43497,43554,47609.0014
13.01.2022 03:00:00.000,43554,43592,43381,43462,58869.0005
13.01.2022 04:00:00.000,43462,43669,43448,43582,55838.9984
13.01.2022 05:00:00.000,43582,43713,43535,43644,53803.0006
13.01.2022 06:00:00.000,43644,43751,43617,43678,53899.0013
13.01.2022 07:00:00.000,43678,43723,43548,43655,54545.0002
13.01.2022 08:00:00.000,43655,43858,43627,43855,61586.9984
13.01.2022 09:00:00.000,43857,43946,43709,43829,58412.0005
13.01.2022 10:00:00.000,43829,43975,43731,43751,53659.8004
13.01.2022 11:00:00.000,43751,43783,43485,43570,62247.0006
13.01.2022 12:00:00.000,43570,43766,43553,43761,59402.9985
13.01.2022 13:00:00.000,43761,43895,43647,43880,67510.9997
13.01.2022 14:00:00.000,43879,44382,43812,44124,95834.0019
13.01.2022 15:00:00.000,44124,44165,42851,43162,112230.0029
13.01.2022 16:00:00.000,43162,43423,43041,43210,89284.0028
13.01.2022 17:00:00.000,43210,43212,42525,42781,99146.9994
13.01.2022 18:00:00.000,42781,42911,42595,42665,80743.9983
13.01.2022 19:00:00.000,42665,42838,42496,42657,87655.9988
13.01.2022 20:00:00.000,42656,42725,42277,42721,76999.0012
13.01.2022 21:00:00.000,42725,42843,42634,42766,64211.0035
13.01.2022 22:00:00.000,42762,42848,42431,42557,43944.0012
13.01.2022 23:00:00.000,42557,42674,42465,42518,52267.0001
14.01.2022 00:00:00.000,42517,42730,42342,42716,96568.0033
14.01.2022 01:00:00.000,42717,42731,42505,42549,66335.9985
14.01.2022 02:00:00.000,42548,42688,42396,42681,53986.0018
14.01.2022 03:00:00.000,42681,42700,42555,42607,48484.9997
14.01.2022 04:00:00.000,42603,42798,42587,42644,56145.0012
14.01.2022 05:00:00.000,42645,42862,42615,42857,55629.0001
14.01.2022 06:00:00.000,42857,42921,42750,42782,58123
14.01.2022 07:00:00.000,42782,42840,42557,42595,49616.9999
14.01.2022 08:00:00.000,42595,42623,42331,42473,66138.9977
14.01.2022 09:00:00.000,42473,42641,42436,42520,56318
14.01.2022 10:00:00.000,42520,42565,41932,42040,72815.001
14.01.2022 11:00:00.000,42041,42041,41792,41970,75328.9983
14.01.2022 12:00:00.000,41968,42261,41732,42071,65475.0019
14.01.2022 13:00:00.000,42071,42362,41989,42154,62206.801
14.01.2022 14:00:00.000,42154,43046,42079,42943,91687.9997
14.01.2022 15:00:00.000,42947,43276,42757,43055,95319.0029
14.01.2022 16:00:00.000,43055,43259,42824,43248,75544.998
14.01.2022 17:00:00.000,43214,43312,42833,42863,72204.9996
14.01.2022 18:00:00.000,42862,43060,42746,43027,61840.9999
14.01.2022 19:00:00.000,43027,43354,42980,43057,70759.9968
14.01.2022 20:00:00.000,43057,43141,42976,43066,56984.9983
14.01.2022 21:00:00.000,43066,43395,43062,43256,33952.0015
14.01.2022 22:00:00.000,43256,43355,43145,43220,20712.9996
14.01.2022 23:00:00.000,43222,43250,42963,43025,25651.0004
15.01.2022 00:00:00.000,43026,43133,42877,43068,22277.9997
15.01.2022 01:00:00.000,43071,43111,42839,42932,20968.9997
15.01.2022 02:00:00.000,42933,43051,42874,43050,15321.9998
15.01.2022 03:00:00.000,43053,43080,42882,42889,12484.0001
15.01.2022 04:00:00.000,42890,42914,42700,42886,13570.9997
15.01.2022 05:00:00.000,42883,43002,42797,42953,11326.0001
15.01.2022 06:00:00.000,42955,43057,42851,43047,12751
15.01.2022 07:00:00.000,43048,43048,42895,43043,13946.9998
15.01.2022 08:00:00.000,43043,43069,42930,42946,37643.9989
15.01.2022 09:00:00.000,42946,43046,42852,43029,33620.9983
15.01.2022 10:00:00.000,43029,43234,42982,43075,26709.9999
15.01.2022 11:00:00.000,43076,43076,42939,42978,33009.0001
15.01.2022 12:00:00.000,42978,42996,42536,42659,61285.9987
15.01.2022 13:00:00.000,42659,42977,42612,42873,55998.0012
15.01.2022 14:00:00.000,42874,43267,42725,43157,47883.0002
15.01.2022 15:00:00.000,43158,43369,43054,43362,41405.9982
15.01.2022 16:00:00.000,43362,43385,43207,43297,60626.9985
15.01.2022 17:00:00.000,43297,43502,43217,43348,58478.0015
15.01.2022 18:00:00.000,43349,43350,43208,43291,61239.0004
